[32m2023-11-20 13:49:03.556[0;39m [INFO] com.hexaware.policymanagement.PolicyManagementSystemApplication [main] Starting PolicyManagementSystemApplication using Java 17.0.8.1 on Das-Acer with PID 20288 (C:\PolicyManagementSystem\PolicyManagementSystem\Sprint4\PolicyForSure\target\classes started by devan in C:\PolicyManagementSystem\PolicyManagementSystem\Sprint4\PolicyForSure)
[32m2023-11-20 13:49:03.564[0;39m [INFO] com.hexaware.policymanagement.PolicyManagementSystemApplication [main] No active profile set, falling back to 1 default profile: "default"
[32m2023-11-20 13:49:04.525[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[32m2023-11-20 13:49:04.596[0;39m [INFO] org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 61 ms. Found 5 JPA repository interfaces.
[32m2023-11-20 13:49:05.268[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port(s): 8585 (http)
[32m2023-11-20 13:49:05.279[0;39m [INFO] org.apache.catalina.core.StandardService [main] Starting service [Tomcat]
[32m2023-11-20 13:49:05.280[0;39m [INFO] org.apache.catalina.core.StandardEngine [main] Starting Servlet engine: [Apache Tomcat/9.0.82]
[32m2023-11-20 13:49:05.407[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [main] Initializing Spring embedded WebApplicationContext
[32m2023-11-20 13:49:05.408[0;39m [INFO] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 1793 ms
[32m2023-11-20 13:49:05.591[0;39m [INFO] org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
[32m2023-11-20 13:49:05.662[0;39m [INFO] org.hibernate.Version [main] HHH000412: Hibernate ORM core version 5.6.15.Final
[32m2023-11-20 13:49:05.879[0;39m [INFO] org.hibernate.annotations.common.Version [main] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[32m2023-11-20 13:49:06.005[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
[32m2023-11-20 13:49:06.444[0;39m [INFO] com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
[32m2023-11-20 13:49:06.480[0;39m [INFO] org.hibernate.dialect.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[32m2023-11-20 13:49:07.738[0;39m [INFO] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[32m2023-11-20 13:49:07.764[0;39m [INFO] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
[32m2023-11-20 13:49:08.925[0;39m [WARN] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[32m2023-11-20 13:49:09.284[0;39m [INFO] org.springframework.security.web.DefaultSecurityFilterChain [main] Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@72dc7f0a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@18ada4e1, org.springframework.security.web.context.SecurityContextPersistenceFilter@7b8d1537, org.springframework.security.web.header.HeaderWriterFilter@2e640411, org.springframework.security.web.authentication.logout.LogoutFilter@7b8b755d, com.hexaware.policymanagement.filter.JwtAuthFilter@594965c9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@530aa75c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4a0a93ce, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@10cf3e4f, org.springframework.security.web.session.SessionManagementFilter@36109a76, org.springframework.security.web.access.ExceptionTranslationFilter@622c658d, org.springframework.security.web.access.intercept.AuthorizationFilter@2be83e7e]
[32m2023-11-20 13:49:09.738[0;39m [INFO] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port(s): 8585 (http) with context path ''
[32m2023-11-20 13:49:10.218[0;39m [INFO] com.hexaware.policymanagement.PolicyManagementSystemApplication [main] Started PolicyManagementSystemApplication in 7.073 seconds (JVM running for 7.774)
[32m2023-11-20 13:50:12.848[0;39m [INFO] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] [http-nio-8585-exec-1] Initializing Spring DispatcherServlet 'dispatcherServlet'
